Wavelength (nm),Sum(calc),H I (2.9e-5),He I (1.0e-4),He II (2.5e-10),N I (9.5e-5),N II (5.3e-6),N III (2.7e-14),O I (9.7e-5),O II (3.3e-6),O III (2.3e-16),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (9.5e-1),Ar II (4.7e-2),Ar III (4.7e-9),Mn I (6.5e-7),Mn II (1.9e-5),Fe I (4.4e-7),Fe II (9.5e-6),Fe III (2.2e-8),Cu I (8.6e-7),Cu II (9.1e-6),La I (6.8e-8),La II (8.3e-6),W I (4.7e-7),W II (9.5e-6),W III (2.7e-8)
733.4,9.272e+3,6.698e-14,1.150e-6,1.248e-36,4.666e-2,4.025e-22,4.463e-27,6.994e-7,3.884e-12,2.953e-26,1.000e-15,3.877e-17,7.983e-16,9.263e+3,1.369e-15,,,4.332e-3,1.131e-15,1.404e-16,2.006e-8,,4.692e-5,9.313e+0,,,,
733.5,9.677e+3,6.694e-14,8.977e-7,1.247e-36,5.423e-2,4.064e-22,6.116e-27,4.808e-7,3.019e-12,2.731e-26,9.990e-16,3.906e-17,1.108e-15,9.667e+3,1.367e-15,,,3.344e-3,1.143e-15,1.394e-16,1.870e-8,,6.290e-5,9.783e+0,,,,
733.6,1.018e+4,6.690e-14,6.979e-7,1.247e-36,6.278e-2,4.102e-22,8.344e-27,3.290e-7,2.336e-12,2.543e-26,9.977e-16,3.934e-17,1.532e-15,1.017e+4,1.365e-15,,,2.570e-3,1.156e-15,1.383e-16,1.736e-8,,8.394e-5,1.023e+1,,,,
733.7,1.079e+4,6.687e-14,5.400e-7,1.247e-36,7.237e-2,4.141e-22,1.133e-26,2.241e-7,1.799e-12,2.389e-26,9.964e-16,3.963e-17,2.108e-15,1.078e+4,1.363e-15,,,1.967e-3,1.169e-15,1.372e-16,1.604e-8,,1.115e-4,1.066e+1,,,,
733.9,1.239e+4,6.679e-14,3.189e-7,1.246e-36,9.503e-2,4.219e-22,2.062e-26,1.025e-7,1.052e-12,2.175e-26,9.939e-16,4.020e-17,3.938e-15,1.238e+4,1.358e-15,,,1.136e-3,1.194e-15,1.351e-16,1.351e-8,,1.942e-4,1.142e+1,,,,
734.0,1.341e+4,6.675e-14,2.433e-7,1.246e-36,1.082e-1,4.257e-22,2.764e-26,6.884e-8,7.993e-13,2.113e-26,9.926e-16,4.048e-17,5.346e-15,1.339e+4,1.356e-15,,,8.578e-4,1.206e-15,1.341e-16,1.231e-8,,2.546e-4,1.175e+1,,,,
734.1,1.458e+4,6.671e-14,1.848e-7,1.246e-36,1.228e-1,4.296e-22,3.687e-26,4.602e-8,6.043e-13,2.080e-26,9.913e-16,4.077e-17,7.226e-15,1.456e+4,1.354e-15,,,6.448e-4,1.219e-15,1.330e-16,1.117e-8,,3.323e-4,1.204e+1,,,,
734.2,1.592e+4,6.667e-14,1.398e-7,1.245e-36,1.388e-1,4.335e-22,4.896e-26,3.062e-8,4.547e-13,2.073e-26,9.901e-16,4.105e-17,9.723e-15,1.591e+4,1.352e-15,,,4.825e-4,1.231e-15,1.320e-16,1.009e-8,,4.317e-4,1.229e+1,,,,
734.4,1.920e+4,6.660e-14,7.880e-8,1.245e-36,1.751e-1,4.412e-22,8.521e-26,1.337e-8,2.540e-13,2.133e-26,9.875e-16,4.162e-17,1.737e-14,1.919e+4,1.348e-15,,,2.666e-4,1.256e-15,1.299e-16,8.116e-9,,7.189e-4,1.266e+1,,,,
734.5,2.117e+4,6.656e-14,5.876e-8,1.244e-36,1.956e-1,4.451e-22,1.117e-25,8.774e-9,1.885e-13,2.194e-26,9.862e-16,4.191e-17,2.306e-14,2.116e+4,1.345e-15,,,1.968e-4,1.269e-15,1.288e-16,7.230e-9,,9.216e-4,1.278e+1,,,,
734.6,2.339e+4,6.652e-14,4.361e-8,1.244e-36,2.176e-1,4.490e-22,1.457e-25,5.730e-9,1.393e-13,2.275e-26,9.850e-16,4.219e-17,3.049e-14,2.338e+4,1.343e-15,,,1.447e-4,1.281e-15,1.278e-16,6.412e-9,,1.176e-3,1.286e+1,,,,
734.7,2.588e+4,6.648e-14,3.222e-8,1.244e-36,2.411e-1,4.528e-22,1.892e-25,3.725e-9,1.024e-13,2.372e-26,9.837e-16,4.248e-17,4.012e-14,2.586e+4,1.341e-15,,,1.059e-4,1.294e-15,1.267e-16,5.661e-9,,1.494e-3,1.290e+1,,,,
734.9,3.174e+4,6.640e-14,1.735e-8,1.243e-36,2.929e-1,4.606e-22,3.149e-25,1.553e-9,5.462e-14,2.605e-26,9.812e-16,4.305e-17,6.854e-14,3.173e+4,1.337e-15,,,5.591e-5,1.319e-15,1.246e-16,4.352e-9,,2.379e-3,1.287e+1,,,,
